2025-05-16,4d58a3d124,4d58a3d124,c86fd384be,True,True,True
2025-05-16,d24aa91232,d24aa91232,e388e7b4ac,False,True,True
2025-05-16,e7b61232c9,e7b61232c9,a372ef16a8,True,True,True
2025-05-14,4efef5760c,4efef5760c,f3aee5de98,False,True,True
2025-05-14,7240ae2fa2,7240ae2fa2,3f3bb7cb01,False,True,True
2025-05-13,b04ecaefd7,b04ecaefd7,12dc01bc77,False,True,True
2025-05-13,e575736cae,e575736cae,785ce99e62,True,True,True
2025-05-12,ab5b8ffed1,ab5b8ffed1,e13612693f,False,True,True
2025-05-06,529fb5c67f,529fb5c67f,b56213be65,False,True,True
2025-05-06,edcad9a14b,edcad9a14b,961af42583,True,True,True
2025-05-06,c96dfa54a4,c96dfa54a4,89d0cc9712,False,True,True
2025-05-06,898eec78cd,898eec78cd,34181233fc,True,True,True
2025-05-03,bc1d30de38,bc1d30de38,65fd73d004,False,True,True
2025-05-01,f634bfe0fc,f634bfe0fc,05f4617029,False,True,True
2025-04-30,9168840e2b,9168840e2b,4986d30491,False,True,True
2025-04-29,b677702b02,b677702b02,c01e97ad5c,False,True,True
2025-04-28,6c9158b5b7,6c9158b5b7,ce83f67ac1,False,True,True
2025-04-28,eb559d58a8,eb559d58a8,10e60136ac,True,True,True
2025-04-27,b6259e61f2,b6259e61f2,3c36e0b520,False,True,True
2025-04-26,685aa9b359,685aa9b359,c5d19cd8b2,False,True,True
2025-04-25,882d1ab812,882d1ab812,3ea92ee249,False,True,True
2025-04-24,7344bcffd8,7344bcffd8,4b2cec303c,False,True,True
2025-04-24,66c00d33d4,66c00d33d4,1c903f3668,True,True,True
2025-04-24,e00a2f63ec,e00a2f63ec,27418a19ad,False,True,True
2025-04-23,92927cb4df,92927cb4df,c574b8ca80,False,True,True
2025-04-22,46526cc8fb,46526cc8fb,c210540c9c,False,True,True
2025-04-21,e6771d7524,e6771d7524,441a4d44b4,False,True,True
2025-04-18,3cbffee94b,3cbffee94b,b6fe3260ce,False,True,True
2025-04-18,a21377b9ec,a21377b9ec,d5df24dffa,False,True,True
2025-04-14,689acab1d3,689acab1d3,8a51bf7023,False,True,True
